unitid,year,twoyr,fouryr,public,privnp,privfp,openadmp,longitud,latitude,efteug,eftotlt,eftotlw,efwhitt,efdetot,efdesom,upgrntn,upgrntp,pttot,age25o,fips,rucc,ctunemrate,ctwhitepct,ctblackpct,cthisppct,ctasianpct,ctnatamerpct,ctpov100pct,ctmedianinc,cthspct,ctbapct,ctlt5pct,ct5to19pct,ct20to34pct,ct35to60pct,ctgt60pct,ctlandarea,ctpopdens,ctpop,cthhu,stfips,region,stname,statepop,stunemrate,stappropfte,stbapct,stnonwpct,pctbbold,pctbbnew,wmdown
101161,2013,1,0,1,0,0,1,-87.779758,30.852045,3703,4362,2769,3122,4362,986,2149,49,1789,1269,1003,3,7.4,87.56,8.27,3.77,0.26,0.14,13.3,56.684,82.5,23.22,6.33,19.48,17.51,30.94,25.74,1590,123,198.608,110.722,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.66,68.39,7.20332128015978
101189,2013,0,1,0,1,0,1,-86.21641,32.384181,2658,2617,1655,1147,2617,870,1607,58,814,1201,1101,2,7.3,38.72,54.85,4.27,2.1,0.06,21.3,50.642,81.62,31.83,7.59,21.08,20.06,32.9,18.37,784,289,231.072,104.395,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.91,94.44,7.33480135432458
101240,2012,1,0,1,0,0,1,-85.991299,33.991866,5392,5882,3645,4058,5882,1586,4202,62,2724,2183,1055,3,11.7,83.22,14.3,2.14,0.28,0.06,19,41.441,74.29,13.63,4.51,19.74,19.37,33.32,23.06,535,195,104.343,47.858,1,3,Alabama,4817.528,10,5795,16.38,24.84,99.95,93.08,7.95959987258821
101240,2013,1,0,1,0,0,1,-85.991299,33.991866,4650,5797,3433,3941,5797,1522,3529,60,2612,2164,1055,3,10.2,82.96,14.06,2.54,0.37,0.08,19,41.59,74.34,13.66,5.95,19.85,18.96,32.57,22.67,535,194,104.133,47.8,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.88,91,7.92547949971958
101277,2013,0,0,0,0,1,1,-86.196979,34.278124,93,89,88,83,89,0,72,49,0,35,1095,4,9.4,86.16,1.06,12.33,0.21,0.25,19.4,39.779,65.28,12.85,8.27,21.94,18.49,31.35,19.94,566,167,96.54,42.587,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.25,90.12,7.85157282406161
101295,2012,1,0,1,0,0,1,-86.781745,34.07341,4954,5391,3374,4813,5391,49,2944,51,2369,1877,1043,4,7.5,96.29,0.72,2.91,0.05,0.03,19.2,39.846,70.9,11.68,4.83,19.87,19.68,33.32,22.29,735,109,81.037,37.94,1,3,Alabama,4817.528,10,5795,16.38,24.84,99.43,71.13,7.37109422175986
101295,2013,1,0,1,0,0,1,-86.781745,34.07341,4486,5281,3283,4644,5281,1642,2704,50,2327,1705,1043,4,7.1,95.67,0.7,3.49,0.06,0.08,19.2,39.927,70.92,11.69,6.6,19.95,19.32,32.28,21.84,735,110,81.278,38.335,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.89,70.19,7.62756492525507
101365,2013,0,1,0,0,1,0,-86.832299,33.468105,338,320,220,112,320,27,188,64,160,250,1073,1,8.6,53.39,41.49,4,1.05,0.07,18.6,53.607,82.71,26.97,7.51,20.61,19.34,33.29,19.25,1111,593,654.489,303.878,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.89,88.78,7.24423003699548
101435,2012,0,1,0,1,0,0,-86.285313,32.350939,1067,1118,556,584,1118,20,471,42,222,237,1101,2,9.6,39.64,55.44,2.98,1.9,0.04,21.3,50.458,81.48,31.55,5.32,20.93,20.86,34.24,18.64,784,292,230.375,102.9,1,3,Alabama,4817.528,10,5795,16.38,24.84,99.94,95.96,7.37199310626922
101435,2013,0,1,0,1,0,0,-86.285313,32.350939,1078,1110,557,646,1110,0,481,43,208,215,1101,2,7.3,38.72,54.85,4.27,2.1,0.06,21.3,50.642,81.62,31.83,7.59,21.08,20.06,32.9,18.37,784,289,231.072,104.395,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.91,94.44,7.38747696121573
101453,2013,0,1,0,1,0,1,-87.662062,34.859089,43,69,11,51,69,9,30,48,37,41,1077,3,6.8,89.34,8.85,1.41,0.36,0.04,17.6,42.675,76.85,19.19,5.52,18.42,19.25,33.14,23.68,668,139,93.891,45.022,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.14,62.66,7.86321216980938
101462,2012,1,0,1,0,0,1,-86.573817,34.772116,993,1248,695,525,1248,125,868,71,690,598,1089,2,8.8,70.9,23.86,3.47,1.62,0.15,12.7,62.702,85.55,34.71,4.86,20.33,19.2,34.78,20.83,802,428,347.745,153.393,1,3,Alabama,4817.528,10,5795,16.38,24.84,99.8,78.72,6.95114762011329
101462,2013,1,0,1,0,0,1,-86.573817,34.772116,921,1383,741,528,1383,164,733,59,748,630,1089,2,9,70.15,23.8,4.28,1.63,0.14,12.7,62.929,85.57,34.75,6.51,20.32,18.81,33.58,20.78,802,433,353.956,156.687,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.85,78.44,7.17993505995118
